t,m,j,u,Price
2016-17,Central,Apple,kg,1583.132691
2016-17,Central,Avocado,kg,256.620603
2016-17,Central,Banana,kg,566.8745624
2016-17,Central,"Bean, brown",kg,9574.365741
2016-17,Central,"Bean, white",kg,6345.23245
2016-17,Central,Beef,kg,1731.386293
2016-17,Central,Biscuits,kg,1109.379861
2016-17,Central,Boiled groundnuts,kg,205.0394108
2016-17,Central,Boiled sweet potatoes,kg,113.0144033
2016-17,Central,"Bottled / canned beer (carlsberg, etc.)",kg,747.9568128
2016-17,Central,Bottled water,kg,203.5924702
2016-17,Central,Bread,kg,779.2916782
2016-17,Central,Breakfast cereal,kg,2968.719467
2016-17,Central,"Buns, scones",kg,858.4844802
2016-17,Central,Butter,kg,2726.821362
2016-17,Central,Cabbage,kg,160.5688967
2016-17,Central,Cassava - boiled (vendor),kg,138.3658009
2016-17,Central,Cassava - roasted (vendor),kg,113.75
2016-17,Central,Cassava flour,kg,383.4464648
2016-17,Central,Cassava tubers,kg,185.8966898
2016-17,Central,Chambiko - soured milk,kg,795.1498889
2016-17,Central,Cheese,kg,4342.321798
2016-17,Central,Chibuku (commercial traditional-style beer),kg,303.9584045
2016-17,Central,Chicken,kg,1978.024933
2016-17,Central,Chicken (vendor),kg,1390.843923
2016-17,Central,Chicken/pieces,kg,2757.432162
2016-17,Central,Chinese cabbage,kg,128.9202056
2016-17,Central,Chips (vendor),kg,749.658628
2016-17,Central,"Citrus ï¿½ naartje, orange, etc.",kg,250.4992527
2016-17,Central,"Cocoa, millo",kg,105531.896
2016-17,Central,Cocoyam (masimbi),kg,416.6666667
2016-17,Central,Coffee,kg,228032.2711
2016-17,Central,Cooking oil,kg,643.4012083
2016-17,Central,Cowpea (khobwe),kg,537.5607199
2016-17,Central,Cucumber,kg,163.0870148
2016-17,Central,Eggs,kg,1461.236232
2016-17,Central,Eggs - boiled (vendor),kg,1002.619819
2016-17,Central,Finger millet (mawere),kg,952.557236
2016-17,Central,Fish (vendor),kg,660.6917791
2016-17,Central,Fish soup/sauce,kg,673.81317
2016-17,Central,Freezes (flavoured ice),kg,124.7834129
2016-17,Central,Fresh fish (large variety),kg,1324.881568
2016-17,Central,Fresh fish (medium variety),kg,481.0406761
2016-17,Central,Fresh fish (small variety),kg,347.3876145
2016-17,Central,Fresh milk,kg,1528.275238
2016-17,Central,Fruit juice,kg,338.0741066
2016-17,Central,Gathered wild green leaves,kg,368.9551426
2016-17,Central,Goat,kg,1600.023041
2016-17,Central,Green maize,kg,244.4710824
2016-17,Central,Ground bean (nzama),kg,537.857253
2016-17,Central,Groundnut (shelled),kg,500.2166651
2016-17,Central,Groundnut (unshelled),kg,434.3899732
2016-17,Central,Groundnut flour,kg,949.1132197
2016-17,Central,Groundnut fresh (unshelled),kg,244.6278246
2016-17,Central,Guava,kg,215.1648899
2016-17,Central,Honey,kg,2167.106693
2016-17,Central,"Hot sauce (nali, etc.)",kg,1189.733016
2016-17,Central,Infant feeding cereals,kg,1993.027179
2016-17,Central,Infant feeding formula (for bottle),kg,8600
2016-17,Central,Irish potato,kg,306.945807
2016-17,Central,"Jam, jelly",kg,3515.045628
2016-17,Central,Locally brewed liquor (kachasu),kg,392.7991449
2016-17,Central,Macademia nuts,kg,1400.600477
2016-17,Central,Maheu,kg,457.1878468
2016-17,Central,Maize - boiled or roasted (vendor),kg,271.6107266
2016-17,Central,Maize grain (not as ufa),kg,307.3801905
2016-17,Central,Maize ufa madeya (bran flour),kg,277.5618102
2016-17,Central,Maize ufa mgaiwa (normal flour),kg,273.4173321
2016-17,Central,Maize ufa refined (fine flour),kg,372.7738242
2016-17,Central,"Mandazi, doughnut (vendor)",kg,472.0760441
2016-17,Central,Mango,kg,137.0220466
2016-17,Central,Margarine - blue band,kg,3037.787332
2016-17,Central,Meal eaten at restaurant,kg,1653.379729
2016-17,Central,Meat (vendor),kg,4454.205837
2016-17,Central,Mushroom,kg,945.2267176
2016-17,Central,Mutton,kg,1193.636364
2016-17,Central,Nkhwani,kg,360.9472879
2016-17,Central,Okra / therere,kg,442.0535346
2016-17,Central,Onion,kg,545.3088014
2016-17,Central,Orange sweet potato,kg,185.9316322
2016-17,Central,Other (specify),kg,14817.88828
2016-17,Central,Other cultivated green leafy vegetables,kg,121.0331607
2016-17,Central,Other fruits (specify),kg,71.5515873
2016-17,Central,"Other poultry - guinea fowl, doves, etc.",kg,1652.083333
2016-17,Central,Other vegetables (specify),kg,189.6437601
2016-17,Central,Other(specify),kg,274.3408231
2016-17,Central,Papaya,kg,459.5277778
2016-17,Central,Pearl millet (mchewere),kg,338.4615385
2016-17,Central,Pigeonpea (nandolo),kg,9351.614105
2016-17,Central,Pineapple,kg,505.3191489
2016-17,Central,"Plantain, cooking banana",kg,748.9661235
2016-17,Central,Popcorn,kg,89.33165621
2016-17,Central,Pork,kg,1327.393621
2016-17,Central,Potato crisps,kg,6806.134212
2016-17,Central,Powdered milk,kg,4205.949267
2016-17,Central,Pumpkin,kg,82.90441424
2016-17,Central,Rice,kg,728.2856539
2016-17,Central,Rosted groundnuts,kg,293.5755611
2016-17,Central,Rosted sweet potatoes,kg,167.9166667
2016-17,Central,Salt,kg,1364.79498
2016-17,Central,Samosa (vendor),kg,1200.645161
2016-17,Central,"Small animal ï¿½ rabbit, mice, etc.",kg,164.1821972
2016-17,Central,Smoked fish (large variety),kg,734.175485
2016-17,Central,Smoked fish (medium variety),kg,438.7777412
2016-17,Central,Smoked fish (small variety),kg,369.7915993
2016-17,Central,"Soft drinks (coca-cola, fanta, sprite, etc.)",kg,211.5478485
2016-17,Central,Sorghum (mapira),kg,706.8275515
2016-17,Central,Soyabean flour,kg,7457.052174
2016-17,Central,"Spaghetti, macaroni, pasta",kg,1114.102524
2016-17,Central,Spices,kg,2471.324379
2016-17,Central,Squash (sobo drink concentrate),kg,727.4501016
2016-17,Central,Sugar,kg,745.0835293
2016-17,Central,Sugar cane,kg,152.7977646
2016-17,Central,Sun dried fish (large variety),kg,596.0082624
2016-17,Central,Sun dried fish (medium variety),kg,402.4263696
2016-17,Central,Sun dried fish (small variety),kg,351.519444
2016-17,Central,"Sweets, candy, chocolates",kg,11479.33558
2016-17,Central,Tanaposi/rape,kg,122.8648015
2016-17,Central,Tea,kg,6420.512763
2016-17,Central,"Termites, other insects (eg ngumbi, caterpillar)",kg,2075.061335
2016-17,Central,Thobwa,kg,115.0373768
2016-17,Central,Tinned meat or fish,kg,1864.316239
2016-17,Central,Tinned vegetables (specify),kg,
2016-17,Central,Tomato,kg,354.2610936
2016-17,Central,Tomato sauce (bottle),kg,1386.504259
2016-17,Central,Traditional beer (masese),kg,174.8193249
2016-17,Central,Wheat flour,kg,640.5630631
2016-17,Central,White sweet potato,kg,167.1066353
2016-17,Central,"Wild fruit (masau, malambe, etc.)",kg,206.629437
2016-17,Central,Wine or commercial liquor,kg,1018.68531
2016-17,Central,"Yeast, baking powder, bicarbonate of soda",kg,338.999439
2016-17,Central,Yoghurt,kg,2240.430683
